twonames,strata,treat,voted2006,voted2004,voted2002,voted2000,voted1998,voted1996,age,regyear,voted2008,pid7,interest,votein2000,vote2000bush,vote2000gore,econretro,unemployment,bushapp,congapp,pt_gotmail,pt_gotphone,pt_gotface,pt_gotmoney,pt_gotad,pt_persuadeothers,pt_soughtinfo,pt_interest,pt_pid7,pt_votein2000,pt_vote2000bush,pt_vote2000gore,pt_novvote,pt_stayiniraq,pt_taxrich,pt_evalreagan,pt_evalcarter,pt_evaldem,pt_evalrep,pt_econretro,pt_postunemployperf,pt_bushapp,pt_congapp,pt_campaigndonation,pt_educ,pt_black,pt_hispanic,pt_church,pt_yob,pt_female,townshowsnoturnoutinvoterfile,R_persondead,R_movedpre,R_movedpost,R_badmailadddress,R_anybad,R_STRATACOAFILTER,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,SD_9,SDA_1,SDA_2,SDA_3,SDA_5,SDA_6,SDA_7,stratactr,altstrata,SI_2,SI_3,SI_4,SI_5,SI_6,SI_7,SI_8,SI_9,STI_1,STI_2,STI_3,STI_4,STI_5,STI_6,STI_7,STI_8,STI_9,post_unif,post_affil,post_dem,post_rep,post_DUR,vffemale,vfgendermissing,age2,twophones,regyearmissing,combined_female
0,14,0,1,1,1,1,0,0,27,1999,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,729,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,1,1,1,1,1,0,0,49,1990,0,5,1,1,1,0,1,0,2,2,1,1,0,1,1,0,0,1,5,1,1,0,-1,0,1,2,1,-1,1,-1,-1,2,2,1,3,0,0,0.625,1958,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2401,0,0,1
1,13,1,0,0,0,0,0,0,26,2004,0,3,1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,676,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,1,0,1,0,0,0,0,33,2003,0,4,0,1,1,0,-1,0,0,0,0,0,0,0,1,0,0,1,4,1,1,0,1,-2,1,0,0,0,0,-2,-2,1,1,1,4,0,0,0.875,1975,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1089,0,0,1
0,13,0,0,0,0,0,0,0,20,2006,0,3,1,0,0,0,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,400,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,0,1,1,0,0,0,0,38,2002,0,3,1,1,0,1,0,0,-1,1,1,0,0,0,1,0,1,2,3,1,0,1,1,1,1,2,1,1,0,-2,-1,-1,1,4,0,0,0.875,1970,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1444,1,0,1,
0,14,1,0,0,0,0,0,0,43,2007,0,4,2,1,0,1,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1849,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,1,0,0,0,0,0,0,45,2007,0,4,1,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2025,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,0,0,0,0,0,0,0,33,2007,0,4,2,1,0,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1089,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,0,1,0,0,0,0,0,34,2004,0,3,2,1,1,0,-2,-1,0,2,0,0,0,1,1,0,1,2,3,1,1,0,1,-2,2,2,0,0,0,-2,-2,-2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1156,0,0,1,,,,,,
0,14,0,0,0,0,0,0,0,29,2005,4,0,1,1,0,-2,-1,-2,-2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,841,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16,0,1,0,0,0,0,0,20,2006,0,6,2,0,0,0,-1,0,1,-2,0,1,0,0,1,0,1,2,6,0,0,0,0,1,-1,2,-1,-2,0,-1,-1,0,0,1,3,0,0,0,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,400,0,0,1
1,13,0,1,1,1,1,0,0,43,1996,0,3,2,1,0,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1849,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,1,0,0,0,0,0,0,21,2006,0,4,0,0,0,0,-1,-1,-2,1,0,0,0,0,1,0,0,1,2,0,0,0,1,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,441,0,0,0,,,,,,,,,,,,,,,
1,13,1,1,1,0,0,0,0,40,2004,0,3,2,1,0,1,-2,0,-2,2,0,0,0,0,1,0,1,2,3,1,0,1,1,-2,-1,0,1,2,-2,-1,-1,-2,2,1,5,0,0,0,1968,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1600,1,0,1
0,15,0,0,0,0,0,0,0,32,2007,0,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,6,0,0,0,0,-2,1,2,0,1,1,-1,0,1,-1,1,4,0,0,0.125,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1024,0,0,0
0,13,1,1,0,0,0,0,0,37,2002,0,3,2,1,0,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1369,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
